Points,Assists,Steals,Blocks,Turnovers,Personal Fouls,Drebounds,Orebounds,fg-pct,3-pct,ft-pct
116.9,25.8,6.4,4.9,14.6,18,37.5,11.1,47.3,36.8,74.3
117.9,26.7,6.4,5.2,13.4,18.8,35.6,9.7,47.5,37.7,81.2
118.9,25.2,7.7,4.7,13.7,20.4,32.2,8.7,48.7,38.7,83.5
119.9,28.9,7.5,4.5,14.5,18.6,32.9,10.1,50.4,37.9,75.1
120.9,24.9,7.1,4.7,13.3,19,31.4,9.7,48.8,36.7,78
121.9,26,8.3,5.8,13.6,20,34.6,12,47.5,35.1,73.3
122.9,27.3,7,3.4,13.5,19.7,32.9,9.5,49.4,36.9,79
123.9,22.9,6.4,4.1,13,20.3,34,12.6,47,35.4,76.1
124.9,25.5,7.1,6.2,13.7,21.1,32.3,8.2,48.7,37.8,80
125.9,27.3,7.1,5.3,13.5,21.2,32.4,11.8,46.7,37.4,79.3
126.9,29.8,7.2,4,16.3,21.4,34.1,10.5,47.9,38.5,79.4
127.9,23.9,7.1,4.4,14.2,19.5,33.4,9.8,47.7,38.1,78.1
128.9,23.8,8,3,13.5,18.5,30.9,9.7,46,34.4,83.1
129.9,25.3,6.4,4.6,14.1,17.9,35.7,10,48.2,34.6,77.5
130.9,26.2,8,5.4,15.3,21.6,32.8,9.1,49,36.5,75.5
131.9,25.9,8.3,4.1,14.6,20.5,33.1,10.6,48,36.4,79.3
132.9,25,7.1,4.9,12.9,18.8,33.2,11.2,48.3,35.2,81.8
133.9,23.9,9.4,5.2,11.7,20,30.3,12.7,45.9,33.5,78.4
134.9,24.5,7.9,4.5,13.4,18.9,33.9,8.5,49,36.1,80.9
135.9,24.4,8.2,4.2,13,21,32.3,11.4,46.5,35.6,80.9
136.9,22.9,6.3,3.7,12.2,20.7,31.2,7.6,47.5,37.1,75.5
137.9,26,6.1,5.2,15.4,20.5,34.1,11.8,47.3,35.3,78.6
138.9,27,7.7,5.8,14.9,21.2,31.4,10.1,46.9,36.7,79
139.9,25.4,6.8,5.2,14.1,18.8,34.2,9.4,48.5,35.6,78.5
140.9,23.2,7.4,4.7,15.1,20.1,33.1,10.2,47,34.6,78.4
141.9,24.2,6.7,4.6,14.5,20,31.1,9.4,47.4,36.5,79.6
142.9,25.1,7.7,5.2,14.2,20.3,33.5,11,45.7,33,74.9
143.9,22.4,7.3,4.6,16.2,20.5,32.9,13.4,45.7,32.7,75.4
144.9,27.2,7,3.9,15.3,19.9,31.9,11.8,46.5,34.5,74.3
145.9,23,7,3.8,15.1,22.1,31.3,11.2,45.4,35.1,77.1